tamano,caso,repeticion,comparaciones,intercambios,iteraciones,llamadas
100,Mejor Caso,1,1097,102,83,135
100,Mejor Caso,2,1097,102,83,135
100,Mejor Caso,3,1097,102,83,135
100,Mejor Caso,4,1097,102,83,135
100,Mejor Caso,5,1097,102,83,135
100,Mejor Caso,6,1097,102,83,135
100,Mejor Caso,7,1097,102,83,135
100,Mejor Caso,8,1097,102,83,135
100,Mejor Caso,9,1097,102,83,135
100,Mejor Caso,10,1097,102,83,135
100,Mejor Caso,11,1097,102,83,135
100,Mejor Caso,12,1097,102,83,135
100,Mejor Caso,13,1097,102,83,135
100,Mejor Caso,14,1097,102,83,135
100,Mejor Caso,15,1097,102,83,135
100,Mejor Caso,16,1097,102,83,135
100,Mejor Caso,17,1097,102,83,135
100,Mejor Caso,18,1097,102,83,135
100,Mejor Caso,19,1097,102,83,135
100,Mejor Caso,20,1097,102,83,135
100,Mejor Caso,21,1097,102,83,135
100,Mejor Caso,22,1097,102,83,135
100,Mejor Caso,23,1097,102,83,135
100,Mejor Caso,24,1097,102,83,135
100,Mejor Caso,25,1097,102,83,135
100,Mejor Caso,26,1097,102,83,135
100,Mejor Caso,27,1097,102,83,135
100,Mejor Caso,28,1097,102,83,135
100,Mejor Caso,29,1097,102,83,135
100,Mejor Caso,30,1097,102,83,135
200,Mejor Caso,1,3234,214,179,265
200,Mejor Caso,2,3234,214,179,265
200,Mejor Caso,3,3234,214,179,265
200,Mejor Caso,4,3234,214,179,265
200,Mejor Caso,5,3234,214,179,265
200,Mejor Caso,6,3234,214,179,265
200,Mejor Caso,7,3234,214,179,265
200,Mejor Caso,8,3234,214,179,265
200,Mejor Caso,9,3234,214,179,265
200,Mejor Caso,10,3234,214,179,265
200,Mejor Caso,11,3234,214,179,265
200,Mejor Caso,12,3234,214,179,265
200,Mejor Caso,13,3234,214,179,265
200,Mejor Caso,14,3234,214,179,265
200,Mejor Caso,15,3234,214,179,265
200,Mejor Caso,16,3234,214,179,265
200,Mejor Caso,17,3234,214,179,265
200,Mejor Caso,18,3234,214,179,265
200,Mejor Caso,19,3234,214,179,265
200,Mejor Caso,20,3234,214,179,265
200,Mejor Caso,21,3234,214,179,265
200,Mejor Caso,22,3234,214,179,265
200,Mejor Caso,23,3234,214,179,265
200,Mejor Caso,24,3234,214,179,265
200,Mejor Caso,25,3234,214,179,265
200,Mejor Caso,26,3234,214,179,265
200,Mejor Caso,27,3234,214,179,265
200,Mejor Caso,28,3234,214,179,265
200,Mejor Caso,29,3234,214,179,265
200,Mejor Caso,30,3234,214,179,265
500,Mejor Caso,1,15702,577,492,677
500,Mejor Caso,2,15702,577,492,677
500,Mejor Caso,3,15702,577,492,677
500,Mejor Caso,4,15702,577,492,677
500,Mejor Caso,5,15702,577,492,677
500,Mejor Caso,6,15702,577,492,677
500,Mejor Caso,7,15702,577,492,677
500,Mejor Caso,8,15702,577,492,677
500,Mejor Caso,9,15702,577,492,677
500,Mejor Caso,10,15702,577,492,677
500,Mejor Caso,11,15702,577,492,677
500,Mejor Caso,12,15702,577,492,677
500,Mejor Caso,13,15702,577,492,677
500,Mejor Caso,14,15702,577,492,677
500,Mejor Caso,15,15702,577,492,677
500,Mejor Caso,16,15702,577,492,677
500,Mejor Caso,17,15702,577,492,677
500,Mejor Caso,18,15702,577,492,677
500,Mejor Caso,19,15702,577,492,677
500,Mejor Caso,20,15702,577,492,677
500,Mejor Caso,21,15702,577,492,677
500,Mejor Caso,22,15702,577,492,677
500,Mejor Caso,23,15702,577,492,677
500,Mejor Caso,24,15702,577,492,677
500,Mejor Caso,25,15702,577,492,677
500,Mejor Caso,26,15702,577,492,677
500,Mejor Caso,27,15702,577,492,677
500,Mejor Caso,28,15702,577,492,677
500,Mejor Caso,29,15702,577,492,677
500,Mejor Caso,30,15702,577,492,677
1000,Mejor Caso,1,52017,1210,1030,1361
1000,Mejor Caso,2,52017,1210,1030,1361
1000,Mejor Caso,3,52017,1210,1030,1361
1000,Mejor Caso,4,52017,1210,1030,1361
1000,Mejor Caso,5,52017,1210,1030,1361
1000,Mejor Caso,6,52017,1210,1030,1361
1000,Mejor Caso,7,52017,1210,1030,1361
1000,Mejor Caso,8,52017,1210,1030,1361
1000,Mejor Caso,9,52017,1210,1030,1361
1000,Mejor Caso,10,52017,1210,1030,1361
1000,Mejor Caso,11,52017,1210,1030,1361
1000,Mejor Caso,12,52017,1210,1030,1361
1000,Mejor Caso,13,52017,1210,1030,1361
1000,Mejor Caso,14,52017,1210,1030,1361
1000,Mejor Caso,15,52017,1210,1030,1361
1000,Mejor Caso,16,52017,1210,1030,1361
1000,Mejor Caso,17,52017,1210,1030,1361
1000,Mejor Caso,18,52017,1210,1030,1361
1000,Mejor Caso,19,52017,1210,1030,1361
1000,Mejor Caso,20,52017,1210,1030,1361
1000,Mejor Caso,21,52017,1210,1030,1361
1000,Mejor Caso,22,52017,1210,1030,1361
1000,Mejor Caso,23,52017,1210,1030,1361
1000,Mejor Caso,24,52017,1210,1030,1361
1000,Mejor Caso,25,52017,1210,1030,1361
1000,Mejor Caso,26,52017,1210,1030,1361
1000,Mejor Caso,27,52017,1210,1030,1361
1000,Mejor Caso,28,52017,1210,1030,1361
1000,Mejor Caso,29,52017,1210,1030,1361
1000,Mejor Caso,30,52017,1210,1030,1361
2000,Mejor Caso,1,178120,2520,2166,2717
2000,Mejor Caso,2,178120,2520,2166,2717
2000,Mejor Caso,3,178120,2520,2166,2717
2000,Mejor Caso,4,178120,2520,2166,2717
2000,Mejor Caso,5,178120,2520,2166,2717
2000,Mejor Caso,6,178120,2520,2166,2717
2000,Mejor Caso,7,178120,2520,2166,2717
2000,Mejor Caso,8,178120,2520,2166,2717
2000,Mejor Caso,9,178120,2520,2166,2717
2000,Mejor Caso,10,178120,2520,2166,2717
2000,Mejor Caso,11,178120,2520,2166,2717
2000,Mejor Caso,12,178120,2520,2166,2717
2000,Mejor Caso,13,178120,2520,2166,2717
2000,Mejor Caso,14,178120,2520,2166,2717
2000,Mejor Caso,15,178120,2520,2166,2717
2000,Mejor Caso,16,178120,2520,2166,2717
2000,Mejor Caso,17,178120,2520,2166,2717
2000,Mejor Caso,18,178120,2520,2166,2717
2000,Mejor Caso,19,178120,2520,2166,2717
2000,Mejor Caso,20,178120,2520,2166,2717
2000,Mejor Caso,21,178120,2520,2166,2717
2000,Mejor Caso,22,178120,2520,2166,2717
2000,Mejor Caso,23,178120,2520,2166,2717
2000,Mejor Caso,24,178120,2520,2166,2717
2000,Mejor Caso,25,178120,2520,2166,2717
2000,Mejor Caso,26,178120,2520,2166,2717
2000,Mejor Caso,27,178120,2520,2166,2717
2000,Mejor Caso,28,178120,2520,2166,2717
2000,Mejor Caso,29,178120,2520,2166,2717
2000,Mejor Caso,30,178120,2520,2166,2717
100,Promedio,1,853,167,153,131
100,Promedio,2,1028,165,149,139
100,Promedio,3,904,159,139,139
100,Promedio,4,839,167,150,135
100,Promedio,5,886,169,155,135
100,Promedio,6,926,172,158,131
100,Promedio,7,947,159,143,135
100,Promedio,8,883,168,147,135
100,Promedio,9,935,158,143,131
100,Promedio,10,838,164,147,131
100,Promedio,11,849,155,140,127
100,Promedio,12,962,163,145,129
100,Promedio,13,813,167,147,141
100,Promedio,14,860,164,144,137
100,Promedio,15,956,153,138,135
100,Promedio,16,904,171,158,135
100,Promedio,17,873,151,133,129
100,Promedio,18,853,166,148,135
100,Promedio,19,908,172,153,135
100,Promedio,20,864,162,144,131
100,Promedio,21,954,155,143,123
100,Promedio,22,942,167,149,137
100,Promedio,23,821,164,144,133
100,Promedio,24,839,171,150,133
100,Promedio,25,846,161,143,139
100,Promedio,26,992,165,150,127
100,Promedio,27,926,172,153,139
100,Promedio,28,899,163,147,133
100,Promedio,29,867,160,140,133
100,Promedio,30,932,169,152,133
200,Promedio,1,2268,367,332,263
200,Promedio,2,2100,357,324,265
200,Promedio,3,2264,361,330,259
200,Promedio,4,2067,371,342,259
200,Promedio,5,2214,377,343,273
200,Promedio,6,2209,366,335,277
200,Promedio,7,2338,366,336,269
200,Promedio,8,2030,382,347,271
200,Promedio,9,2199,354,320,267
200,Promedio,10,2215,380,350,269
200,Promedio,11,2177,371,338,267
200,Promedio,12,2358,372,335,279
200,Promedio,13,2365,368,330,265
200,Promedio,14,2122,383,350,265
200,Promedio,15,2010,376,345,263
200,Promedio,16,2003,389,356,263
200,Promedio,17,2020,376,341,271
200,Promedio,18,2391,358,327,265
200,Promedio,19,2262,363,331,261
200,Promedio,20,2203,373,339,269
200,Promedio,21,2179,369,337,269
200,Promedio,22,2120,379,347,265
200,Promedio,23,2189,367,336,267
200,Promedio,24,2057,372,347,257
200,Promedio,25,1994,368,335,257
200,Promedio,26,2128,367,335,263
200,Promedio,27,2275,363,325,263
200,Promedio,28,2080,372,342,259
200,Promedio,29,2133,375,342,265
200,Promedio,30,2188,371,339,267
500,Promedio,1,6449,1104,1013,671
500,Promedio,2,6178,1087,1000,661
500,Promedio,3,6408,1089,1008,677
500,Promedio,4,6984,1047,959,671
500,Promedio,5,6261,1094,1007,663
500,Promedio,6,6908,1057,977,671
500,Promedio,7,6467,1102,1023,669
500,Promedio,8,7481,1070,979,677
500,Promedio,9,6264,1091,1012,675
500,Promedio,10,6666,1079,990,665
500,Promedio,11,6321,1086,999,663
500,Promedio,12,7028,1026,949,669
500,Promedio,13,6375,1084,1002,655
500,Promedio,14,6231,1087,1002,657
500,Promedio,15,6446,1073,996,659
500,Promedio,16,6524,1044,965,673
500,Promedio,17,6559,1075,991,663
500,Promedio,18,6743,1084,1004,665
500,Promedio,19,6639,1063,982,677
500,Promedio,20,6636,1063,981,679
500,Promedio,21,6384,1084,1000,671
500,Promedio,22,6568,1080,999,653
500,Promedio,23,6858,1068,983,669
500,Promedio,24,6976,1085,1001,673
500,Promedio,25,6863,1064,988,651
500,Promedio,26,6400,1112,1024,675
500,Promedio,27,6692,1085,1001,675
500,Promedio,28,6664,1057,975,661
500,Promedio,29,6376,1097,1012,667
500,Promedio,30,6744,1080,996,661
1000,Promedio,1,14470,2401,2218,1353
1000,Promedio,2,15415,2367,2195,1345
1000,Promedio,3,15413,2354,2197,1339
1000,Promedio,4,14601,2422,2255,1345
1000,Promedio,5,15585,2365,2208,1307
1000,Promedio,6,14933,2393,2225,1333
1000,Promedio,7,15226,2360,2203,1351
1000,Promedio,8,14636,2432,2243,1351
1000,Promedio,9,14770,2389,2224,1325
1000,Promedio,10,15854,2357,2196,1359
1000,Promedio,11,15779,2372,2202,1341
1000,Promedio,12,15271,2382,2216,1327
1000,Promedio,13,14482,2410,2249,1321
1000,Promedio,14,14766,2400,2230,1325
1000,Promedio,15,14543,2432,2282,1327
1000,Promedio,16,14733,2391,2223,1347
1000,Promedio,17,14724,2406,2252,1313
1000,Promedio,18,15955,2428,2251,1349
1000,Promedio,19,15069,2392,2222,1335
1000,Promedio,20,14609,2423,2249,1359
1000,Promedio,21,14750,2389,2231,1329
1000,Promedio,22,14162,2417,2250,1337
1000,Promedio,23,15248,2388,2207,1345
1000,Promedio,24,14510,2400,2225,1359
1000,Promedio,25,16712,2334,2164,1333
1000,Promedio,26,15051,2357,2186,1343
1000,Promedio,27,16080,2316,2149,1337
1000,Promedio,28,14613,2373,2221,1309
1000,Promedio,29,14758,2402,2228,1341
1000,Promedio,30,15691,2360,2179,1349
2000,Promedio,1,33279,5259,4935,2651
2000,Promedio,2,33463,5258,4918,2669
2000,Promedio,3,32371,5279,4948,2671
2000,Promedio,4,33296,5240,4903,2649
2000,Promedio,5,32652,5296,4950,2685
2000,Promedio,6,33565,5258,4904,2661
2000,Promedio,7,32805,5264,4923,2697
2000,Promedio,8,33129,5270,4935,2645
2000,Promedio,9,32240,5312,4970,2673
2000,Promedio,10,32405,5283,4952,2693
2000,Promedio,11,33516,5241,4908,2691
2000,Promedio,12,33722,5182,4838,2671
2000,Promedio,13,34186,5259,4904,2693
2000,Promedio,14,32189,5313,4974,2671
2000,Promedio,15,33476,5242,4935,2645
2000,Promedio,16,32365,5329,4994,2689
2000,Promedio,17,32229,5272,4940,2653
2000,Promedio,18,36057,5218,4872,2693
2000,Promedio,19,34784,5196,4858,2669
2000,Promedio,20,33833,5198,4855,2679
2000,Promedio,21,33888,5211,4856,2691
2000,Promedio,22,35482,5147,4807,2693
2000,Promedio,23,33658,5273,4935,2665
2000,Promedio,24,35070,5162,4803,2677
2000,Promedio,25,37016,5146,4815,2663
2000,Promedio,26,33875,5295,4962,2685
2000,Promedio,27,33946,5214,4874,2689
2000,Promedio,28,34266,5207,4882,2667
2000,Promedio,29,32039,5306,4958,2663
2000,Promedio,30,33723,5270,4928,2687
100,Peor Caso,1,5047,99,98,199
100,Peor Caso,2,5047,99,98,199
100,Peor Caso,3,5047,99,98,199
100,Peor Caso,4,5047,99,98,199
100,Peor Caso,5,5047,99,98,199
100,Peor Caso,6,5047,99,98,199
100,Peor Caso,7,5047,99,98,199
100,Peor Caso,8,5047,99,98,199
100,Peor Caso,9,5047,99,98,199
100,Peor Caso,10,5047,99,98,199
100,Peor Caso,11,5047,99,98,199
100,Peor Caso,12,5047,99,98,199
100,Peor Caso,13,5047,99,98,199
100,Peor Caso,14,5047,99,98,199
100,Peor Caso,15,5047,99,98,199
100,Peor Caso,16,5047,99,98,199
100,Peor Caso,17,5047,99,98,199
100,Peor Caso,18,5047,99,98,199
100,Peor Caso,19,5047,99,98,199
100,Peor Caso,20,5047,99,98,199
100,Peor Caso,21,5047,99,98,199
100,Peor Caso,22,5047,99,98,199
100,Peor Caso,23,5047,99,98,199
100,Peor Caso,24,5047,99,98,199
100,Peor Caso,25,5047,99,98,199
100,Peor Caso,26,5047,99,98,199
100,Peor Caso,27,5047,99,98,199
100,Peor Caso,28,5047,99,98,199
100,Peor Caso,29,5047,99,98,199
100,Peor Caso,30,5047,99,98,199
200,Peor Caso,1,20097,199,198,399
200,Peor Caso,2,20097,199,198,399
200,Peor Caso,3,20097,199,198,399
200,Peor Caso,4,20097,199,198,399
200,Peor Caso,5,20097,199,198,399
200,Peor Caso,6,20097,199,198,399
200,Peor Caso,7,20097,199,198,399
200,Peor Caso,8,20097,199,198,399
200,Peor Caso,9,20097,199,198,399
200,Peor Caso,10,20097,199,198,399
200,Peor Caso,11,20097,199,198,399
200,Peor Caso,12,20097,199,198,399
200,Peor Caso,13,20097,199,198,399
200,Peor Caso,14,20097,199,198,399
200,Peor Caso,15,20097,199,198,399
200,Peor Caso,16,20097,199,198,399
200,Peor Caso,17,20097,199,198,399
200,Peor Caso,18,20097,199,198,399
200,Peor Caso,19,20097,199,198,399
200,Peor Caso,20,20097,199,198,399
200,Peor Caso,21,20097,199,198,399
200,Peor Caso,22,20097,199,198,399
200,Peor Caso,23,20097,199,198,399
200,Peor Caso,24,20097,199,198,399
200,Peor Caso,25,20097,199,198,399
200,Peor Caso,26,20097,199,198,399
200,Peor Caso,27,20097,199,198,399
200,Peor Caso,28,20097,199,198,399
200,Peor Caso,29,20097,199,198,399
200,Peor Caso,30,20097,199,198,399
500,Peor Caso,1,125247,499,498,999
500,Peor Caso,2,125247,499,498,999
500,Peor Caso,3,125247,499,498,999
500,Peor Caso,4,125247,499,498,999
500,Peor Caso,5,125247,499,498,999
500,Peor Caso,6,125247,499,498,999
500,Peor Caso,7,125247,499,498,999
500,Peor Caso,8,125247,499,498,999
500,Peor Caso,9,125247,499,498,999
500,Peor Caso,10,125247,499,498,999
500,Peor Caso,11,125247,499,498,999
500,Peor Caso,12,125247,499,498,999
500,Peor Caso,13,125247,499,498,999
500,Peor Caso,14,125247,499,498,999
500,Peor Caso,15,125247,499,498,999
500,Peor Caso,16,125247,499,498,999
500,Peor Caso,17,125247,499,498,999
500,Peor Caso,18,125247,499,498,999
500,Peor Caso,19,125247,499,498,999
500,Peor Caso,20,125247,499,498,999
500,Peor Caso,21,125247,499,498,999
500,Peor Caso,22,125247,499,498,999
500,Peor Caso,23,125247,499,498,999
500,Peor Caso,24,125247,499,498,999
500,Peor Caso,25,125247,499,498,999
500,Peor Caso,26,125247,499,498,999
500,Peor Caso,27,125247,499,498,999
500,Peor Caso,28,125247,499,498,999
500,Peor Caso,29,125247,499,498,999
500,Peor Caso,30,125247,499,498,999
1000,Peor Caso,1,500497,999,998,1999
1000,Peor Caso,2,500497,999,998,1999
1000,Peor Caso,3,500497,999,998,1999
1000,Peor Caso,4,500497,999,998,1999
1000,Peor Caso,5,500497,999,998,1999
1000,Peor Caso,6,500497,999,998,1999
1000,Peor Caso,7,500497,999,998,1999
1000,Peor Caso,8,500497,999,998,1999
1000,Peor Caso,9,500497,999,998,1999
1000,Peor Caso,10,500497,999,998,1999
1000,Peor Caso,11,500497,999,998,1999
1000,Peor Caso,12,500497,999,998,1999
1000,Peor Caso,13,500497,999,998,1999
1000,Peor Caso,14,500497,999,998,1999
1000,Peor Caso,15,500497,999,998,1999
1000,Peor Caso,16,500497,999,998,1999
1000,Peor Caso,17,500497,999,998,1999
1000,Peor Caso,18,500497,999,998,1999
1000,Peor Caso,19,500497,999,998,1999
1000,Peor Caso,20,500497,999,998,1999
1000,Peor Caso,21,500497,999,998,1999
1000,Peor Caso,22,500497,999,998,1999
1000,Peor Caso,23,500497,999,998,1999
1000,Peor Caso,24,500497,999,998,1999
1000,Peor Caso,25,500497,999,998,1999
1000,Peor Caso,26,500497,999,998,1999
1000,Peor Caso,27,500497,999,998,1999
1000,Peor Caso,28,500497,999,998,1999
1000,Peor Caso,29,500497,999,998,1999
1000,Peor Caso,30,500497,999,998,1999
2000,Peor Caso,1,2000997,1999,1998,3999
2000,Peor Caso,2,2000997,1999,1998,3999
2000,Peor Caso,3,2000997,1999,1998,3999
2000,Peor Caso,4,2000997,1999,1998,3999
2000,Peor Caso,5,2000997,1999,1998,3999
2000,Peor Caso,6,2000997,1999,1998,3999
2000,Peor Caso,7,2000997,1999,1998,3999
2000,Peor Caso,8,2000997,1999,1998,3999
2000,Peor Caso,9,2000997,1999,1998,3999
2000,Peor Caso,10,2000997,1999,1998,3999
2000,Peor Caso,11,2000997,1999,1998,3999
2000,Peor Caso,12,2000997,1999,1998,3999
2000,Peor Caso,13,2000997,1999,1998,3999
2000,Peor Caso,14,2000997,1999,1998,3999
2000,Peor Caso,15,2000997,1999,1998,3999
2000,Peor Caso,16,2000997,1999,1998,3999
2000,Peor Caso,17,2000997,1999,1998,3999
2000,Peor Caso,18,2000997,1999,1998,3999
2000,Peor Caso,19,2000997,1999,1998,3999
2000,Peor Caso,20,2000997,1999,1998,3999
2000,Peor Caso,21,2000997,1999,1998,3999
2000,Peor Caso,22,2000997,1999,1998,3999
2000,Peor Caso,23,2000997,1999,1998,3999
2000,Peor Caso,24,2000997,1999,1998,3999
2000,Peor Caso,25,2000997,1999,1998,3999
2000,Peor Caso,26,2000997,1999,1998,3999
2000,Peor Caso,27,2000997,1999,1998,3999
