tamano,caso,repeticion,tiempo_segundos
100,Mejor Caso,1,0.00009462
100,Mejor Caso,2,0.00009240
100,Mejor Caso,3,0.00008993
100,Mejor Caso,4,0.00073838
100,Mejor Caso,5,0.00030167
100,Mejor Caso,6,0.00008933
100,Mejor Caso,7,0.00025159
100,Mejor Caso,8,0.00008865
100,Mejor Caso,9,0.00009913
100,Mejor Caso,10,0.00009312
100,Mejor Caso,11,0.00009429
100,Mejor Caso,12,0.00009604
100,Mejor Caso,13,0.00009397
100,Mejor Caso,14,0.00010776
100,Mejor Caso,15,0.00009184
100,Mejor Caso,16,0.00008611
100,Mejor Caso,17,0.00008534
100,Mejor Caso,18,0.00008639
100,Mejor Caso,19,0.00021523
100,Mejor Caso,20,0.00008738
100,Mejor Caso,21,0.00010033
100,Mejor Caso,22,0.00008910
100,Mejor Caso,23,0.00009704
100,Mejor Caso,24,0.00022343
100,Mejor Caso,25,0.00009325
100,Mejor Caso,26,0.00009415
100,Mejor Caso,27,0.00009405
100,Mejor Caso,28,0.00009327
100,Mejor Caso,29,0.00009683
100,Mejor Caso,30,0.00009602
200,Mejor Caso,1,0.00027767
200,Mejor Caso,2,0.00043568
200,Mejor Caso,3,0.00026266
200,Mejor Caso,4,0.00026152
200,Mejor Caso,5,0.00025988
200,Mejor Caso,6,0.00029041
200,Mejor Caso,7,0.00042831
200,Mejor Caso,8,0.00026609
200,Mejor Caso,9,0.00051782
200,Mejor Caso,10,0.00036444
200,Mejor Caso,11,0.00051060
200,Mejor Caso,12,0.00022365
200,Mejor Caso,13,0.00045383
200,Mejor Caso,14,0.00032829
200,Mejor Caso,15,0.00045838
200,Mejor Caso,16,0.00020934
200,Mejor Caso,17,0.00024398
200,Mejor Caso,18,0.00030065
200,Mejor Caso,19,0.00037843
200,Mejor Caso,20,0.00034709
200,Mejor Caso,21,0.00043358
200,Mejor Caso,22,0.00036228
200,Mejor Caso,23,0.00033601
200,Mejor Caso,24,0.00035566
200,Mejor Caso,25,0.00030528
200,Mejor Caso,26,0.00021577
200,Mejor Caso,27,0.00022363
200,Mejor Caso,28,0.00031419
200,Mejor Caso,29,0.00032871
200,Mejor Caso,30,0.00035062
500,Mejor Caso,1,0.00207225
500,Mejor Caso,2,0.00184035
500,Mejor Caso,3,0.00184952
500,Mejor Caso,4,0.00183088
500,Mejor Caso,5,0.00184067
500,Mejor Caso,6,0.00183862
500,Mejor Caso,7,0.00209529
500,Mejor Caso,8,0.00175403
500,Mejor Caso,9,0.00122812
500,Mejor Caso,10,0.00182045
500,Mejor Caso,11,0.00196532
500,Mejor Caso,12,0.00153149
500,Mejor Caso,13,0.00215632
500,Mejor Caso,14,0.00252768
500,Mejor Caso,15,0.00137535
500,Mejor Caso,16,0.00167954
500,Mejor Caso,17,0.00159676
500,Mejor Caso,18,0.00118190
500,Mejor Caso,19,0.00143863
500,Mejor Caso,20,0.00222861
500,Mejor Caso,21,0.00147549
500,Mejor Caso,22,0.00140857
500,Mejor Caso,23,0.00119536
500,Mejor Caso,24,0.00121958
500,Mejor Caso,25,0.00133074
500,Mejor Caso,26,0.00145002
500,Mejor Caso,27,0.00136566
500,Mejor Caso,28,0.00155342
500,Mejor Caso,29,0.00131460
500,Mejor Caso,30,0.00244070
1000,Mejor Caso,1,0.00576453
1000,Mejor Caso,2,0.00667974
1000,Mejor Caso,3,0.00625287
1000,Mejor Caso,4,0.00635684
1000,Mejor Caso,5,0.00599621
1000,Mejor Caso,6,0.00489546
1000,Mejor Caso,7,0.00497448
1000,Mejor Caso,8,0.00382269
1000,Mejor Caso,9,0.00478584
1000,Mejor Caso,10,0.00472429
1000,Mejor Caso,11,0.00412296
1000,Mejor Caso,12,0.00649344
1000,Mejor Caso,13,0.00775726
1000,Mejor Caso,14,0.00525984
1000,Mejor Caso,15,0.00530841
1000,Mejor Caso,16,0.00430100
1000,Mejor Caso,17,0.00639943
1000,Mejor Caso,18,0.00520354
1000,Mejor Caso,19,0.00561639
1000,Mejor Caso,20,0.00460641
1000,Mejor Caso,21,0.00476514
1000,Mejor Caso,22,0.00477703
1000,Mejor Caso,23,0.00532547
1000,Mejor Caso,24,0.00461601
